qx_m_SLT1996,0.00110,0.00076,0.00050,0.00033,0.00024,0.00022,0.00022,0.00021,0.00019,0.00017,0.00015,0.00014,0.00015,0.00022,0.00034,0.00052,0.00073,0.00094,0.00109,0.00115,0.00114,0.00107,0.00099,0.00092,0.00088,0.00086,0.00085,0.00085,0.00084,0.00084,0.00084,0.00085,0.00088,0.00092,0.00098,0.00105,0.00113,0.00122,0.00133,0.00144,0.00156,0.00171,0.00188,0.00208,0.00229,0.00251,0.00273,0.00296,0.00321,0.00348,0.00379,0.00415,0.00457,0.00507,0.00564,0.00630,0.00703,0.00781,0.00864,0.00951,0.01022,0.01101,0.01204,0.01319,0.01431,0.01542,0.01694,0.01864,0.02054,0.02267,0.02506,0.02773,0.03072,0.03406,0.03779,0.04197,0.04663,0.05184,0.05764,0.06411,0.07132,0.07935,0.08827,0.09817,0.10916,0.12133,0.13479,0.14965,0.16601,0.18400,0.20372,0.22528,0.24878,0.27431,0.30191,0.33164,0.36349,0.39743,0.43336,0.47113,0.51052,0.55124,0.59291,0.63508,0.67722,0.71874,1.00000
qx_f_SLT1996,0.00094,0.00069,0.00048,0.00031,0.00020,0.00014,0.00013,0.00013,0.00013,0.00012,0.00011,0.00010,0.00010,0.00013,0.00017,0.00021,0.00025,0.00029,0.00031,0.00032,0.00033,0.00033,0.00034,0.00036,0.00037,0.00038,0.00039,0.00040,0.00042,0.00044,0.00046,0.00049,0.00053,0.00057,0.00063,0.00069,0.00076,0.00083,0.00090,0.00097,0.00105,0.00114,0.00124,0.00134,0.00146,0.00158,0.00169,0.00183,0.00199,0.00215,0.00233,0.00252,0.00270,0.00287,0.00306,0.00328,0.00353,0.00378,0.00407,0.00438,0.00469,0.00503,0.00537,0.00588,0.00645,0.00710,0.00784,0.00869,0.00966,0.01076,0.01202,0.01345,0.01508,0.01694,0.01906,0.02147,0.02421,0.02733,0.03088,0.03491,0.03949,0.04469,0.05059,0.05727,0.06484,0.07341,0.08309,0.09401,0.10631,0.12015,0.13567,0.15305,0.17246,0.19406,0.21802,0.24449,0.27361,0.30546,0.34010,0.37637,0.41434,0.45459,0.49688,0.54085,0.58606,0.63195,0.67783,0.72297,0.76652,1
SelectionFactor,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90
popn_m,549,535,535,550,548,544,542,562,574,589,597,604,604,613,610,607,627,632,621,631,623,632,648,668,683,697,723,745,754,754,764,797,818,852,873,917,960,1012,1028,1010,982,954,937,916,915,713,882,826,805,778,765,770,783,761,740,776,803,803,850,896,949,1018,1111,1099,1042,645,684,825,794,809,780,698,599,627,631,616,571,521,501,470,430,385,350,316,281,247,202,158,122,98,78,67,44,36,28,21,15,11,7,5,6
popn_f,520,510,511,525,522,518,517,538,545,561,568,573,576,585,583,578,595,597,589,599,596,605,622,638,655,667,697,719,729,734,742,774,794,828,849,890,931,982,1001,981,958,931,920,902,898,705,872,815,798,772,760,768,783,765,744,783,810,813,868,918,975,1051,1152,1146,1090,685,741,903,875,899,873,793,690,738,755,753,718,675,671,646,614,573,547,515,482,454,405,349,313,276,236,213,146,128,106,87,63,49,35,25,41
